"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","118","5.4.3.6 Verifier should reject Presentations where at least 1 credential is revoked/suspended","","Mon May 04 06:18:57 UTC 2026","passed","Mon May 04 06:18:57 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_06_presentationResponse_credentialRevoked"
"","3852","transferData_failing_withProxyOriginalResponse_withoutSourceResponseBody()","","Mon May 04 06:20:52 UTC 2026","passed","Mon May 04 06:20:56 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_failing_withProxyOriginalResponse_withoutSourceResponseBody"
"","3389","transferData_success_withProxyOriginalResponse_withoutSourceResponseBody()","","Mon May 04 06:20:25 UTC 2026","passed","Mon May 04 06:20:28 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_success_withProxyOriginalResponse_withoutSourceResponseBody"
"","2116","transferFile_success()","","Mon May 04 06:20:40 UTC 2026","passed","Mon May 04 06:20:42 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","transferFile_success"
"","4625","transferData_success_withProxyOriginalResponse()","","Mon May 04 06:22:08 UTC 2026","passed","Mon May 04 06:22:13 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_success_withProxyOriginalResponse"
"","3","verifyAgentId_whenNoMembershipCredential_forDsp08(DataspaceProfileContextRegistry)","","Mon May 04 06:21:11 UTC 2026","passed","Mon May 04 06:21:11 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","verifyAgentId_whenNoMembershipCredential_forDsp08"
"","2447","Refresh token is null or empty (missing) [2] """"","","Mon May 04 06:19:15 UTC 2026","passed","Mon May 04 06:19:18 UTC 2026","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidRefreshToken"
"","40","Policy is not accepted due to missing context ""Data Usage End Date""","","Mon May 04 06:19:27 UTC 2026","passed","Mon May 04 06:19:27 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","2114","Verify the refresh endpoint is not called when auto_refresh=false","","Mon May 04 06:19:19 UTC 2026","passed","Mon May 04 06:19:22 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_whenNotAutorefresh_shouldNotCallEndpoint"
"","1227","Expect the Catalog request to fail if a credential is revoked","","Mon May 04 06:20:34 UTC 2026","passed","Mon May 04 06:20:36 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","catalogRequest_whenCredentialRevoked"
"","274","discoveryShouldReturn2025DspParams_BpnAsIdentifier()","","Mon May 04 06:19:44 UTC 2026","passed","Mon May 04 06:19:45 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","discoveryShouldReturn2025DspParams_BpnAsIdentifier"
"","2427","The authentication token misses required claims: audience","","Mon May 04 06:19:25 UTC 2026","passed","Mon May 04 06:19:27 UTC 2026","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidAuthenticationToken_missingAudience"
"","57","Policy is accepted ""Confidential Information Measures""","","Mon May 04 06:19:25 UTC 2026","passed","Mon May 04 06:19:26 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","7297","The authentication token misses required claims: token","","Mon May 04 06:19:00 UTC 2026","passed","Mon May 04 06:19:08 UTC 2026","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidAuthenticationToken_missingAccessToken"
"","280","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Mon May 04 06:20:27 UTC 2026","passed","Mon May 04 06:20:27 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpnLegacy_shouldReject"
"","34","Policy is not accepted due to missing context ""Warranty""","","Mon May 04 06:19:27 UTC 2026","passed","Mon May 04 06:19:27 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","100","5.4.3 Verifier should reject Presentations where the holder does not match the credentialSubject.id","","Mon May 04 06:18:57 UTC 2026","passed","Mon May 04 06:18:58 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_presentationResponse_holderNotEqualSubjectId"
"","744","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Mon May 04 06:19:31 UTC 2026","passed","Mon May 04 06:19:31 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpnLegacy_WithNamespace_shouldReject"
"","318","Expect the Catalog request to fail if a credential has an invalid credential subject id","","Mon May 04 06:20:36 UTC 2026","passed","Mon May 04 06:20:36 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","catalogRequest_whenCredentialSubjectIdIsInvalid"
"","35","Policy is not accepted due to missing context ""Usage Purpose""","","Mon May 04 06:19:27 UTC 2026","passed","Mon May 04 06:19:27 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","202","Expect the Catalog request to fail if a credential is revoked","","Mon May 04 06:21:32 UTC 2026","passed","Mon May 04 06:21:32 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","catalogRequest_whenCredentialRevoked"
"","200","Consumer gets catalog from the provider. No constraints.","","Mon May 04 06:20:50 UTC 2026","passed","Mon May 04 06:20:50 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTestDspV08","org.eclipse.tractusx.edc.tests.catalog.CatalogTestDspV08","requestCatalog_fulfillsPolicy_shouldReturnOffer"
"","54032","Catalog with 1000 offers","","Mon May 04 06:19:32 UTC 2026","passed","Mon May 04 06:20:26 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_of1000Assets_shouldContainAll"
"","70","Verify HTTP 200 response and body when refreshing succeeds","","Mon May 04 06:19:28 UTC 2026","passed","Mon May 04 06:19:28 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_success"
"","290","Verify that the consumer receives only the offers he is permitted to (using the new BPN validation)","","Mon May 04 06:20:50 UTC 2026","passed","Mon May 04 06:20:50 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTestDspV08","org.eclipse.tractusx.edc.tests.catalog.CatalogTestDspV08","requestCatalog_filteredByBpn_shouldReject"
"","52","5.4.3.6 Verifier should reject a credential that is not yet valid","","Mon May 04 06:18:57 UTC 2026","passed","Mon May 04 06:18:57 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_06_presentationResponse_notYetValidCredential"
"","3897","transferData_failing_withProxyOriginalResponse_withoutSourceResponseBody()","","Mon May 04 06:22:04 UTC 2026","passed","Mon May 04 06:22:08 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_failing_withProxyOriginalResponse_withoutSourceResponseBody"
"","53","Policy is accepted ""Jurisdiction Location Reference""","","Mon May 04 06:19:25 UTC 2026","passed","Mon May 04 06:19:25 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","5746","Verify that the callbacks are invoked when negotiating an EDR","","Mon May 04 06:19:46 UTC 2026","passed","Mon May 04 06:19:52 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.NegotiateEdrTest","org.eclipse.tractusx.edc.tests.edrv2.NegotiateEdrTest","negotiateEdr_shouldInvokeCallbacks"
"","70","Policy is accepted ""Version Changes""","","Mon May 04 06:19:25 UTC 2026","passed","Mon May 04 06:19:25 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","50","triggerDataTransfer_shouldFail_whenDataFlowIsFinite()","","Mon May 04 06:19:33 UTC 2026","passed","Mon May 04 06:19:33 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","triggerDataTransfer_shouldFail_whenDataFlowIsFinite"
"","31820","shouldTerminateTransfer_whenDataProvisioningEndDatePolicyExpires()","","Mon May 04 06:19:48 UTC 2026","passed","Mon May 04 06:20:20 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyMonitorEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyMonitorEndToEndTest","shouldTerminateTransfer_whenDataProvisioningEndDatePolicyExpires"
